FID,WD24CD,WD24NM,WD24NMW,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length,GlobalID
1,E05000932,Ainsdale,,330510,412099,-3.05155,53.60084,8397997.066,16043.45165,5290661c-8d77-4b5e-afe1-714957b6ec91
2,E05000933,Birkdale,,333046,414534,-3.01375,53.62305,3063184.428,8297.732894,7f6464c7-39cf-4bf5-a9f8-1d2363587225
3,E05000934,Blundellsands,,330806,399928,-3.04438,53.4915,4894854.634,10619.99203,c0124a35-6c44-429a-86ac-7908dd910645
4,E05000935,Cambridge,,334745,419336,-2.98908,53.66642,9862438.951,20964.43234,62612dca-77ed-44bd-a264-ec51603c43f0
5,E05000936,Church,,332033,397634,-3.02539,53.47105,3446247.653,8815.537587,7930a816-4323-41e3-9ae7-8b4746997253
6,E05000937,Derby,,334886,395495,-2.98197,53.45218,2196192.23,7184.795198,cad7ae52-a810-4d36-8773-23d34584b311
7,E05000938,Duke's,,332219,415872,-3.02655,53.63497,9920810.185,17652.68259,5aa9b189-19f9-4af9-b29a-7482547479de
8,E05000939,Ford,,333901,398354,-2.99741,53.47775,3337307.156,9176.100502,72c7a50e-5043-4812-a356-2e95473762a0
9,E05000940,Harington,,329709,408904,-3.06293,53.57202,16295748.06,21657.34963,d8de28a4-26d8-4e86-b463-ecb1e4f0b288
10,E05000941,Kew,,334808,415639,-2.98735,53.63321,4057560.373,8410.527681,076a8d70-4a12-4d8b-b3ee-e4d71a7ccf7c
11,E05000942,Linacre,,332970,395633,-3.01085,53.45318,5484571.71,10974.40467,9748f6a4-ab21-4306-98fa-9fde6a19cb7b
12,E05000943,Litherland,,334217,396953,-2.99235,53.4652,1960076.869,8311.029947,7e6584b0-58e6-4b84-86f4-5c5815d133d7
13,E05000944,Manor,,332505,401775,-3.01917,53.50832,13019146.5,28583.2199,4ecb0680-1772-43d5-a3cb-504f776759e9
14,E05000945,Meols,,336678,419705,-2.95991,53.66998,7714455.762,35514.48794,8df8c07a-eb07-46a8-adb7-f31450fad9dc
15,E05000946,Molyneux,,338925,400311,-2.9221,53.49595,12575359.97,25375.84055,c2b5483a-82aa-43a2-9698-d9929b403ae0
16,E05000947,Netherton and Orrell,,335723,398104,-2.96991,53.47573,4259777.494,12557.99652,bc419e37-53d1-49a9-aca5-932310222c9e
17,E05000948,Norwood,,335814,416670,-2.97235,53.6426,3641348.269,9043.989063,e2a1a851-93ee-4fea-b394-715e773e4b97
18,E05000949,Park,,336618,402983,-2.95741,53.51969,13967159.3,24433.77844,e18c6cf3-8707-4e0f-8999-75055f8a6a90
19,E05000950,Ravenmeols,,330973,407590,-3.04355,53.56038,18047709.07,31457.89328,a24301fa-cf6d-4a31-bf58-a4baef898665
